;DIJKSTRA;BELLMAN;FLOYD
4;0.000000;0.000000;0.000000
8;0.000000;0.000000;0.000000
16;0.000000;0.000000;0.000000
32;0.000000;0.000000;0.000000
64;0.000000;0.000000;0.000000
128;0.000000;0.000000;0.000000
256;0.000000;0.000000;0.000000
512;0.000000;0.000000;0.000000
1024;0.000000;0.000000;0.000000
2048;0.000000;0.000000;0.000000
4096;0.000000;0.000000;0.000000
8192;0.000000;0.001000;0.000000
16384;0.000000;0.000000;0.000000
32768;0.001000;0.001000;0.000000
65536;0.000000;0.001000;0.000000
131072;0.000000;0.002000;0.002000
262144;0.000000;0.002000;0.001000
524288;0.000000;0.006000;0.002000
1048576;0.000000;0.004000;0.001000
2097152;0.017000;0.012000;0.005000
4194304;0.016000;0.032000;0.005000
8388608;0.049000;0.091000;0.030000
16777216;0.090000;0.195000;0.073000
33554432;0.211000;0.331000;0.127000
67108864;0.408000;0.715000;0.310000
134217728;2.547.000;3.259.000;2.521.000
268435456;12.507.000;15.917.000;16.209.999
